"Sr. No.","State","Hon'ble Members of Parliaments","Constituency","Allocated AMOUNT ( ₹ )"
"353","Karnataka","RADHAKRISHNA","GULBARGA(SC)","147000000"
"354","Chhattisgarh","RADHE SHYAM RATHIYA","RAIGARH(ST)","159706972.09"
"355","Uttar Pradesh","RAHUL GANDHI","RAE BARELI","147000000"
"356","Rajasthan","Rahul Kaswan","CHURU","147000000"
"357","Madhya Pradesh","RAHUL SINGH LODHI","DAMOH","163058785.37"
"358","Bihar","RAJ BHUSHAN CHOUDHARY","MUZAFFARPUR","147000000"
"359","Rajasthan","RAJ KUMAR ROAT","BANSWARA(ST)","147000000"
"360","Bihar","RAJA RAM SINGH","KARAKAT","147000000"
"361","Maharashtra","RAJABHAU","NASHIK","152878682.11"
"362","Himachal Pradesh","RAJEEV BHARDWAJ","KANGRA","179388967.11"
"363","Uttar Pradesh","RAJEEV RAI","GHOSI","147000000"
"364","Bihar","RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","147000000"
"365","Bihar","RAJESH VERMA","KHAGARIA","147000000"
"366","Gujarat","Rajeshbhai Naranbhai Chudasama","JUNAGADH","147000000"
"367","Bihar","Rajiv Pratap Rudy","SARAN","147000000"
"368","Bihar","Rajiv Ranjan (Lalan) Singh","MUNGER","147000000"
"369","Uttar Pradesh","Rajkumar Chahar","FATEHPUR SIKRI","147000000"
"370","Uttar Pradesh","Rajnath Singh","LUCKNOW","154808797.11"
"371","Gujarat","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","147000000"
"372","West Bengal","Raju Bista","DARJEELING","147000000"
"373","Uttar Pradesh","RAKESH RATHOR","SITAPUR","147000000"
"374","Assam","RAKIBUL HUSSAIN","DHUBRI","147000000"
"375","Uttar Pradesh","RAM PRASAD CHAUDHARY","BASTI","204176957.11"
"376","Uttar Pradesh","Ram Shiromani","SHRAWASTI","151746878.11"
"377","Telangana","RAMASAHAYAM RAGHURAM REDDY","KHAMMAM","147000000"
"378","Uttar Pradesh","RAMASHANKAR RAJBHAR","SALEMPUR","160056927.07"
"379","Uttar Pradesh","RAMBHUAL NISHAD","SULTANPUR","151231957.11"
"380","Uttar Pradesh","RAMESH AWASTHI","KANPUR","147000000"
"381","Karnataka","Ramesh Chandappa Jigajinagi","BIJAPUR(SC)","269500000"
"382","Bihar","Ramprit Mandal","JHANJHARPUR","147000000"
"383","Delhi","Ramvir Singh Bidhuri","SOUTH DELHI","147559100"
"384","Assam","RANJIT DUTTA","Sonitpur","147000000"
"385","Haryana","Rao Inderjit Singh","GURGAON","147000000"
"386","Rajasthan","Rao Rajendra Singh","JAIPUR RURAL","147000000"
"387","Bihar","Ravi Shankar Prasad","PATNA SAHIB","147000000"
"388","Maharashtra","RAVINDRA DATTARAM WAIKAR","MUMBAI NORTH WEST","147000000"
"389","Uttar Pradesh","Ravindra Shyamnarayan Alias Ravi Kishan Shukla","GORAKHPUR","147000000"
"390","Maharashtra","Ravindra Vasantrao Chavan","NANDED","147000000"
"391","Mizoram","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","147000000"
"392","Tamil Nadu","ROBERT BRUCE C","TIRUNELVELI","147475440.11"
"393","Madhya Pradesh","Rodmal Nagar","RAJGARH","147000000"
"394","Chhattisgarh","ROOP KUMARI CHOUDHARY","MAHASAMUND","153035414"
"395","Uttar Pradesh","RUCHI VIRA","MORADABAD","147000000"
"396","Odisha","RUDRA NARAYAN PANY","DHENKANAL","155013957.11"
"397","Nagaland","S SUPONGMEREN JAMIR","NAGALAND","147000000"
"398","Tamil Nadu","S Venkatesan","MADURAI","147000000"
"399","Tamil Nadu","S. Jagathrakshakan","ARAKKONAM","180589332.34"
"400","Tamil Nadu","SACHITHANANTHAM R","DINDIGUL","147000000"
"401","Karnataka","SAGAR ESHWAR KHANDRE","BIDAR","147000000"
"402","Meghalaya","SALENG A SANGMA","TURA","147000000"
"403","Odisha","SAMBIT PATRA","PURI","147000000"
"404","Uttar Pradesh","SANATAN PANDEY","BALLIA","180420041.4"
"405","Maharashtra","SANJAY DINA PATIL","MUMBAI NORTH EAST","147000000"
"406","Maharashtra","Sanjay Haribhau Jadhav","PARBHANI","147000000"
"407","Bihar","Sanjay Jaiswal","PASCHIM CHAMPARAN","147000000"
"408","Telangana","Sanjay Kumar Bandi","KARIMNAGAR","172775317.11"
"409","Jharkhand","Sanjay Seth","RANCHI","147064357.11"
"410","Maharashtra","Sanjay Uttamrao Deshmukh","YAVATMAL-WASHIM","185640423"
"411","Rajasthan","SANJNA JATAV","BHARATPUR(SC)","147000000"
"412","Chhattisgarh","Santosh Pandey","RAJNANDGAON","147000000"
"413","Odisha","Saptagiri Sankar Ulaka","KORAPUT(ST)","269500000"
"414","Punjab","SARABJEET SINGH KHALSA","FARIDKOT(SC)","150850348.15"
"415","Tamil Nadu","Sasikanth Senthil","TIRUVALLUR(SC)","171500000"
"416","Haryana","SATPAL BRAHAMCHARI","SONEPAT","147000000"
"417","West Bengal","Saumitra khan","BISHNUPUR(SC)","147000000"
"418","Madhya Pradesh","SAVITRI THAKUR","DHAR(ST)","147000000"
"419","West Bengal","SAYANI GHOSH","JADAVPUR","147000000"
"420","Haryana","SELJA","SIRSA(SC)","147000000"
"421","Tamil Nadu","SELVAGANAPATHI T M","SALEM","147000000"
"422","Tamil Nadu","SELVARAJ V","NAGAPATTINAM(SC)","147000000"
"423","Kerala","SHAFI PARAMBIL","VADAKARA","147000000"
"424","Bihar","SHAMBHAVI","SAMASTIPUR(SC)","147000000"
"425","Madhya Pradesh","Shankar Lalwani","INDORE","147000000"
"426","Uttar Pradesh","SHASHANK MANI","DEORIA","147000000"
"427","West Bengal","Shatrughan Sinha","ASANSOL","147000000"
"428","Punjab","SHER SINGH GHUBAYA","FIROZPUR","147000000"
"429","Madhya Pradesh","SHIVMANGAL SINGH TOMAR","MORENA","147000000"
"430","Madhya Pradesh","SHIVRAJ SINGH CHOUHAN","VIDISHA","147000000"
"431","Karnataka","SHOBHA KARANDLAJE","BANGALORE NORTH","147000000"
"432","Gujarat","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","147000000"
"433","Karnataka","SHREYAS. M. PATEL","HASSAN","147000000"
"434","Haryana","Shri  Dharambir Singh","BHIWANI MAHENDRAGARH","147000000"
"435","West Bengal","Shri Abhishek Banerjee","DIAMOND HARBOUR","147000000"
"436","Punjab","Shri Amar Singh","FATEHGARH SAHIB(SC)","147000000"
"437","Gujarat","Shri Amit Shah","GANDHINAGAR","147000000"
"438","Madhya Pradesh","Shri Anil Firojiya","UJJAIN(SC)","147000000"
"439","Rajasthan","Shri Arjun Ram Meghwal","BIKANER(SC)","147000000"
"440","Uttar Pradesh","Shri Arun Kumar Sagar","SHAHJAHANPUR(SC)","147000000"
"441","Karnataka","Shri B Y Raghavendra","SHIMOGA","147000000"
"442","Kerala","Shri Benny Behanan","CHALAKUDY","164674770.11"
"443","Odisha","Shri Bhartruhari Mahtab","CUTTACK","147000000"
"444","Jharkhand","Shri Chandra Prakash Choudhary","GIRIDIH","147000000"
"445","West Bengal","Shri Deepak (Dev) Adhikari","GHATAL","200747364"
"446","Punjab","Shri Gurjeet Singh Aujla","AMRITSAR","147000000"
"447","Rajasthan","Shri Hanuman Beniwal","NAGAUR","147000000"
"448","Kerala","Shri Hibi Eden","ERNAKULAM","162177260.11"
"449","Bihar","Shri Janardan Singh Sigriwal","MAHARAJGANJ_BR","147000000"
"450","Odisha","Shri Jual Oram","SUNDARGARH (ST)","173096756.91"
"451","Jammu And Kashmir","Shri Jugal Kishore Sharma","JAMMU","147000000"
"452","West Bengal","Shri Jyotirmay Singh Mahato","PURULIA","147000000"
"453","Tamil Nadu","Shri Karti P Chidambaram","SIVAGANGA","159049284.11"
"454","Kerala","Shri Kumbakudi Sudhakaran","KANNUR","147000000"
"455","Karnataka","Shri LS Tejasvi Surya","BANGALORE SOUTH","147000000"
"456","Kerala","Shri M K Raghavan","KOZHIKODE","147000000"
"457","Uttar Pradesh","Shri Narendra Modi","VARANASI","162070276.11"
"458","Kerala","Shri NK Premachandran","KOLLAM","171477994.11"
"459","Rajasthan","Shri PP Chaudhary","PALI","147000000"
"460","Kerala","Shri Rajmohan Unnithan","KASARAGOD","156754633.11"
"461","Assam","Shri Sarbananda Sonowal (18LS)","DIBRUGARH","147000000"
"462","Uttar Pradesh","Shri Satish Kumar Gautam","ALIGARH","147000000"
"463","West Bengal","Shri Shantanu Thakur","BANGAON(SC)","147000000"
"464","Madhya Pradesh","Shri Sudheer Gupta","MANDSOUR","148988014.83"
"465","Kerala","Shri Suresh Kodikunnil","MAVELIKKARA(SC)","172429519.11"
"466","Arunachal Pradesh","Shri Tapir Gao","ARUNACHAL EAST","147000000"
"467","Tamil Nadu","Shri vijayakumar Vasanth","KANNIYAKUMARI","171500000"
"468","Maharashtra","Shrikant Eknath Shinde","KALYAN","147000000"
"469","Maharashtra","SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE","SATARA","147000000"
"470","Goa","Shripad Yesso Naik","NORTH GOA","147000000"
"471","Maharashtra","Shrirang Appa Barne","MAVAL","147000000"
"472","Maharashtra","Shyamkumar","RAMTEK(SC)","147000000"
"473","Andhra Pradesh","Sivanath Kesineni","VIJAYAWADA","147000000"
"474","West Bengal","SK NURUL ISLAM","BASIRHAT","49000000"
"475","Maharashtra","SMITA UDAY WAGH","JALGAON","148107373.11"
"476","Uttar Pradesh","Smt Anupriya Patel","MIRZAPUR","147000000"
"477","Odisha","Smt Aparajita Sarangi","BHUBANESWAR","147420861.41"
"478","Uttar Pradesh","Smt Dimple Yadav","MAINPURI","192042469.11"
"479","Punjab","Smt Harsimrat Kaur Badal","BHATINDA","159775982.39"
"480","Uttar Pradesh","Smt Hema Malini","MATHURA","147000000"
"481","Madhya Pradesh","Smt Himadri Singh","SHAHDOL (ST)","150724861.11"
"482","Gujarat","Smt Poonamben Hematbhai Maadam","JAMNAGAR","147000000"
"483","Maharashtra","Smt Raksha Nikhil Khadse","RAVER","153112586.11"
"484","Tamil Nadu","Smt S Jothimani","KARUR","147000000"
"485","West Bengal","Smt Sajda Ahmed","ULUBERIA","147000000"
"486","Madhya Pradesh","Smt Sandhya Ray","BHIND(SC)","147000000"
"487","Odisha","Smt Sangeeta Kumari Singh Deo","BOLANGIR","147000000"
"488","West Bengal","Smt Satabdi Roy (Banerjee)","BIRBHUM","147000000"
"489","Maharashtra","Smt Supriya Sadanand Sule","BARAMATI","147000000"
"490","Bihar","Smt Veena Devi","VAISHALI","147000000"
"491","Andhra Pradesh","Sribharat MathuKumli","VISAKHAPATNAM","164841922"
"492","Bihar","SUDAMA PRASAD","ARRAH","147000000"
"493","Tamil Nadu","SUDHA R","MAYILADUTHURAI","147332315.11"
"494","Bihar","SUDHAKAR SINGH","BUXAR","185211956.54"
"495","West Bengal","Sudip Bandyopadhyay","KOLKATA UTTAR","147000000"
"496","Odisha","SUKANTA KUMAR PANIGRAHI","KANDHAMAL","190712424.11"
"497","Jharkhand","SUKHDEO BHAGAT","LOHARDAGA(ST)","171821957.11"
"498","Punjab","SUKHJINDER SINGH RANDHAWA","GURDASPUR","147000000"
"499","Karnataka","SUNIL BOSE","CHAMARAJANAGAR(SC)","147000000"
"500","Maharashtra","Sunil Dattatray Tatkare","RAIGAD","147000000"
"501","Bihar","Sunil Kumar","VALMIKI NAGAR","147000000"
"502","Bihar","SURENDRA PRASAD YADAV","JAHANABAD","155325714"
"503","Kerala","SURESH GOPI","THRISSUR","147000000"
"504","Himachal Pradesh","Suresh Kumar Kashyap","SHIMLA (SC)","153563957.11"
"505","Telangana","SURESH KUMAR SHETKAR","ZAHIRABAD","147000000"
"506","Uttar Pradesh","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","147000000"
"507","Tamil Nadu","T Sumathy (A) Thamizhachi Thangapandian","CHENNAI SOUTH","147000000"
"508","Andhra Pradesh","TANGELLA UDAY SRINIVAS","KAKINADA","199417886.76"
"509","Uttar Pradesh","TANUJ PUNIA","BARABANKI(SC)","148198170.11"
"510","Bihar","TARIQ ANWAR","KATIHAR","147000000"
"511","Tamil Nadu","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","196905535.11"
"512","Tamil Nadu","THANGA TAMILSELVAN","THENI","147000000"
"513","Tamil Nadu","THARANIVENTHAN M S","ARANI","168337124.35"
"514","Tamil Nadu","Thiru Dayanidhi Maran","CHENNAI CENTRAL","147000000"
"515","Tamil Nadu","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","147000000"
"516","Chhattisgarh","TOKHAN SAHU","BILASPUR","147000000"
"517","Uttarakhand","TRIVENDRA SINGH RAWAT","HARDWAR","147000000"
"518","Uttar Pradesh","UJJWAL RAMAN SINGH","ALLAHABAD","147000000"
"519","Rajasthan","UMMEDA RAM BENIWAL","BARMER","147000000"
"520","Uttar Pradesh","UTKARSH VERMA MADHUR","KHERI","147000000"
"521","Tamil Nadu","V S Matheswaran","NAMAKKAL","162539930.11"
"522","Karnataka","V. SOMANNA","TUMKUR","147000000"
"523","Puducherry","Vaithilingam Ve","Puducherry","209368972.11"
"524","Telangana","VAMSI KRISHNA GADDAM","PEDDAPALLE","148451721.11"
"525","Haryana","VARUN CHAUDHRY","AMBALA (SC)","255454264"
"526","Kerala","Vellalath Kochukrishnan Nair Sreekandan","PALAKKAD","167807990.11"
"527","Chhattisgarh","Vijay Baghel","DURG","147000000"
"528","Uttar Pradesh","Vijay Kumar Dubey","KUSHI NAGAR","148900000"
"529","Jharkhand","Vijay Kumar Hansdak","RAJMAHAL(ST)","147223957.11"
"530","Bihar","VIJAYLAKSHMI DEVI","SIWAN","147000000"
"531","Gujarat","Vinod Chavda","KACHCHH(SC)","147000000"
"532","Uttar Pradesh","VINOD KUMAR BIND","BHADOHI","147000000"
"533","Madhya Pradesh","Virendra Kumar","TIKAMGARH(SC)","147000000"
"534","Uttar Pradesh","VIRENDRA SINGH","CHANDAULI","147000000"
"535","Maharashtra","VISHAL","SANGLI","147000000"
"536","Jharkhand","Vishnu Dayal Ram","PALAMU(SC)","158176083.11"
"537","Madhya Pradesh","Vishnu Dutt Sharma","KHAJURAHO","147000000"
"538","Karnataka","VISHWESHWAR HEGDE KAGERI","UTTARA KANNADA","147000000"
"539","Bihar","VIVEK THAKUR","NAWADA","147000000"
"540","Andhra Pradesh","Y S Avinash Reddy","KADAPA","156430260.11"
"541","Karnataka","YADUVEER KRISHNADATTA CHAMARAJA WADIYAR","MYSORE","147000000"
"542","Delhi","Yogendra Chandoliya","NORTH WEST DELHI(SC)","147876307"
"543","Uttar Pradesh","ZIA UR REHMAN","SAMBHAL","147000000"
"Grand Total"," "," "," ","83,18,05,53,325.71"
