"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"2019","Normal/Others","WS/MP18213/2024-2025/155773-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat nagala qazi mein Ch Lakhan Singh Inter College gate par ,Mo9927555542.","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2020","Normal/Others","WS/MP18138/2024-2025/143324-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Construction of PCC Flooring at Tinghmun","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","16-May-2025","250000"
"2021","Normal/Others","WS/MP18138/2024-2025/143323-Construction of boundary walls of existing public and community buildings","Mizoram","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Construction of Retaining wall near Sub Centre, Upper Sakawrdai","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","07-Jul-2025","250000"
"2022","Normal/Others","WS/MP18213/2024-2025/155774-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat senakalan mein nagala suwan mein beech tiraha par , Vinod Yadav Mo 9927555542","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2023","Normal/Others","WS/MP18138/2024-2025/143322-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Construction of PCC Flooring at Govt. Primary School Road","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","07-Jul-2025","250000"
"2024","Normal/Others","WS/MP859/2024-2025/150949-Street lights","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","ELECRTICAL WORKS FOR SUPPLY, DELIVERY & ISTALLATION OF 1NO 12.5 MTR POLYGONEL HIGH MAST TOWER LED LIGHT SYSTEM ( HAVING 8 NOS 150W FLOOD LIGHT LED LUMINAILRES ) WITH 24 HR & TWILLIGHT DUAL CHANNEL OPERATION COMPRISING MOTOR OPERATED LANTERN CARRIAGE LOWRING & UPPERING TECHNOLOGY INCORPORATED FOR PLACE IN HOOGHLY","Kalyan Banerjee","SREERAMPUR","Images","10-Mar-2025","280779"
"2025","Normal/Others","WS/MP18138/2024-2025/143321-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Road Extension on Field Peng road","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","23-Sep-2025","300000"
"2026","Normal/Others","WS/MP18213/2024-2025/155775-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat rijor mein chandi mandir rijor ibrahim nagariya tiraha Mo 9457073071","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2027","Normal/Others","WS/MP18138/2024-2025/143328-Construction of road under bridge","Mizoram","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Approach road to Tuivai River under Tuivai Bridge","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","Images","13-Mar-2025","1500000"
"2028","Normal/Others","WS/MP18138/2024-2025/143327-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Construction of road at Barika","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","07-Jul-2025","250000"
"2029","Normal/Others","WS/MP859/2024-2025/150956-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","CONSTRUCTION  OF CEMENT CONCRETE ROAD BETWEEN PWD ROAD DEBASIS MAITY TO TARAMATALA ROAD AT CHANDITALA G.P UNDER  CHANDITALA – II PANCHAYAT SAMITI, DIST- HOOGHLY.","Kalyan Banerjee","SREERAMPUR","Images","25-Sep-2025","802038"
"2030","Normal/Others","WS/MP18138/2024-2025/143326-Construction of common work sheds/ common covered sitting area","Mizoram","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Construction of Waiting Shed at Palsang","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","16-May-2025","250000"
"2031","Normal/Others","WS/MP18213/2024-2025/155776-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat sheelampura gadiayan mein badan singh ke ghar ke pass tiraha par , Mo 7017646592.","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2032","Normal/Others","WS/MP18138/2024-2025/143325-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Construction of PCC Flooring at Thlanmual Road, Zokhawthiang","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","16-May-2025","250000"
"2033","Normal/Others","WS/MP18213/2024-2025/155778-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat chachaina mein kendriya vidayala Harchandrapur prangan mein , Mo 9910238507","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2034","Normal/Others","WS/MP18138/2024-2025/149616-Construction of buildings for sports facilities","Mizoram","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Construction of Pehlawn Volleyball Court","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","18-Jun-2025","1000000"
"2035","Normal/Others","WS/MP18213/2024-2025/155779-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat sonhar mein barat  ghar ke pass chaurahe par , Mo 75808227024","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2036","Normal/Others","WS/MP18213/2024-2025/155780-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat daspur mein Anil Solanki ke ghar ke pass tirahe par Mo 9456954111","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2037","Normal/Others","WS/MP18213/2024-2025/155781-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat jalalpur sathal ke beech gaon mein sarwajanik sthal par veer singh, Mo 9870728487","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2038","Normal/Others","WS/MP18213/2024-2025/155782-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat nagala bike mein Khetpal singh ke ghar ke pass chaurahe par , Mo 7248451087","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2039","Normal/Others","WS/MP18213/2024-2025/155787-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","Gram panchayat kansuri mein holi chowk Pravesh Kumar ke ghar ke pass , Mo 9310407777","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2040","Normal/Others","WS/MP18213/2024-2025/155788-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat kartala ke beri ke nagala mein Harvendra ke ghar ke pass tirahe par, Mo 7088842321","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2041","Normal/Others","WS/MP18213/2024-2025/155791-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat shivsinghpur mein Matadevi mandir tirahe par ,Mo 9758976035","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2042","Normal/Others","WS/MP18213/2024-2025/155795-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat shitalpur ke mandi samiti ke pass Gautam Buddha Nagar , Sunita Shakya ke ghar ke pass  Mo 9557937879","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2043","Normal/Others","WS/MP18213/2024-2025/155801-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","Udhanpur ke raamnagar mein Logheswar Mahadev Akhade mein, Mo 8384854029","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2044","Normal/Others","WS/MP18213/2024-2025/155813-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","Nagarpalika Etah ke kidwai nagar mein Jamshed Alam ke ghar ke pass , Mo 9412282789","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2045","Normal/Others","WS/MP18213/2024-2025/155816-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat mainadher ke dulinagar mein shri Shivlal singh Boudh Inter College Dulinagar Pragan ,Mo 9761054186","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2046","Normal/Others","WS/MP18213/2024-2025/155820-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat wajidpur ke jaharpur mein bamba ke pass , Mo 9259700007","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2047","Normal/Others","WS/MP18213/2024-2025/155825-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat pahrai mein pahrai tirahe par , Mahendrapal Singh Mo 9458887175","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2048","Normal/Others","WS/MP18213/2024-2025/155831-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat on mein Vishnukant ke ghar ke pass chaurahe par ,Mo 9734967659","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2049","Normal/Others","WS/MP18213/2024-2025/155835-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat Kansuri ke lohakhar mein Sunil Shakya ke ghar ke pass Chauraha par, Mo 9458226341.","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2050","Normal/Others","WS/MP18213/2024-2025/155841-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat arthara mein Neeraj Shakya gaon ke mein chaurahe par , Mo 9761318628.","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2051","Normal/Others","WS/MP18213/2024-2025/155856-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat Milawali ke nagala arjun mein Rajpal shakya ke chaurahe par , Mo 8006377454","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2052","Normal/Others","WS/MP18213/2024-2025/155859-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat bagwala mein kartala chaurahe par , Dr Shubhash , Mo 9759765792","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2053","Normal/Others","WS/MP18213/2024-2025/155864-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","Gram Panchayat Jirsami ke nagala hashan mein Bamba ki puliya ke kinare par, Anil Shakya, Mo 7017273572","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2054","Normal/Others","WS/MP18213/2024-2025/155869-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat kathauli ke kathauli gram mein sarwajanik sthal par Devendra Shakya Mo 9149177218.","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2055","Normal/Others","WS/MP18213/2024-2025/156543-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat nighauli dehat mein sansar kushwaha ke ghar ke pass tirahe par, Mo 9719410580","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2056","Normal/Others","WS/MP18213/2024-2025/156544-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat naghirpur mein Praveen shakya ke ghar ke pass chaurahe par, Mo 6397143853","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2057","Normal/Others","WS/MP18213/2024-2025/156562-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","nagar panchayat marhara ke dargah sharif masjid ke pass Mo,9412511125.","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2058","Normal/Others","WS/MP18048/2024-2025/147650-Construction of culverts and bridges","Chhattisgarh","KONDAGAON(DISTRICT COLLECTOR KONDAGAON_IDA)","gram sonabeda me sagram ghar ke pas se devdongar marg me 03 metre puliya nirman karya","MAHESH KASHYAP","BASTAR(ST)","Images","24-Apr-2026","897695"
"2059","Normal/Others","WS/MP18213/2024-2025/156563-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","gram panchayat bharthara dewkishan ke amberpur mein mahirpal ghar ke pass tirahe par Mo,7300659175","DEVESH SHAKYA","ETAH","N/A","13-May-2025","240689"
"2060","Normal/Others","WS/MP18048/2024-2025/147649-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","KONDAGAON(DISTRICT COLLECTOR KONDAGAON_IDA)","primary school se ramdev ghar tak 300 metre c.c.road nirman karya","MAHESH KASHYAP","BASTAR(ST)","Images","29-Jul-2026","898745"
"2061","Normal/Others","WS/MP18138/2024-2025/143748-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","Internal road PCC Flooring from S. Vanlalvura's house to Vanlalliana House, Zohmun","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","07-Jul-2025","350000"
"2062","Normal/Others","WS/MP18138/2024-2025/148799-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of Footh path at S Sabual Govt. Primary School","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","24-Sep-2025","250000"
"2063","Normal/Others","WS/MP18138/2024-2025/148107-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of Agriculture link road at Sihlui Tuikhur to Mautamlo road. hmunpui","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","Images","22-Apr-2025","1000000"
"2064","Normal/Others","WS/MP18138/2024-2025/148798-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of Wating Shed at Leitan, bawngthat","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","24-Sep-2025","250000"
"2065","Normal/Others","WS/MP18138/2024-2025/148796-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of PCC Flooring at Community Hall road at chuntlang","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","24-Sep-2025","250000"
"2066","Normal/Others","WS/MP18138/2024-2025/148108-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Hmun village extention road at Hmunpui","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","24-Sep-2025","1000000"
"2067","Normal/Others","WS/MP18138/2024-2025/148797-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of BNRGSK Step at Hreichhuk","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","24-Sep-2025","250000"
"2068","Normal/Others","WS/MP18138/2024-2025/148793-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","KOLASIB(Deputy Commissioner Kolasib)","Construction of Agriculture linkl road at Archaw Lian Zau at N Chaltlang","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","Images","05-Feb-2026","1000000"
"2069","Normal/Others","WS/MP429/2024-2025/140549-Construction of common work sheds/ common covered sitting area","Chhattisgarh","Gaurela-Pendra-Marwahi(Collector GPM_IDA)","Sarvajanik Manch Construction at Baada Para, Gram Panchayat - Belpat, Vikas Khand - Gaurela","Jyotsna Charandas Mahant","KORBA","N/A","02-Mar-2026","198977"
"2070","Normal/Others","WS/MP18152/2024-2025/141187-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of cycle shed at govt high school","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","10-Jun-2025","299275"
"2071","Normal/Others","WS/MP18152/2024-2025/141188-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of mid day meal shed at govt high school","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","10-Jun-2025","300000"
"2072","Normal/Others","WS/MP858/2024-2025/143987-Street lights","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Installation 2 no of highmast street light under  bara saota gp.Executing Agency will be EO NANOOR PANCHAYAT SAMITY.","Asit Kumar Mal","BOLPUR(SC)","Images","15-Jan-2025","578914"
"2073","Repair and Renovation","WS/MP598/2024-2025/147190-Construction of footpaths and pedestrian ways","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Restoration of Rain Damages Path from army Barack to Kashyap Niwas Ward No. 04, Executive agency MC Shimla","Suresh Kumar Kashyap","SHIMLA (SC)","N/A","26-Feb-2026","340000"
"2074","Normal/Others","WS/MP18138/2024-2025/143310-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","KOLASIB(Deputy Commissioner Kolasib)","Construction of PCC Flooring & Side Drain","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","14-Feb-2026","250000"
"2075","Normal/Others","WS/MP18138/2024-2025/143309-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","KOLASIB(Deputy Commissioner Kolasib)","Upgradation of internal Road","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","15-Feb-2026","500000"
"2076","Normal/Others","WS/MP18138/2024-2025/143308-Construction of additional rooms and halls in the existing public and community building","Mizoram","KOLASIB(Deputy Commissioner Kolasib)","building extension of Higher Secondary School","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","Images","15-Feb-2026","500000"
"2077","Normal/Others","WS/MP18138/2024-2025/143307-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Mizoram","KOLASIB(Deputy Commissioner Kolasib)","Cemetery House","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","Images","15-Feb-2026","250000"
"2078","Normal/Others","WS/MP18032/2024-2025/136944-Construction of community centers and community halls","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","construction of community hall at gorar(Durgawati)","SUDHAKAR SINGH","BUXAR","N/A","24-Mar-2025","796448"
"2079","Normal/Others","WS/MP18161/2024-2025/157277-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","interlocking sadak nirman karya chaurahe se leela ke kuye ki or gram imlali work agency gp badka","SANJNA JATAV","BHARATPUR(SC)","Images","16-Sep-2025","497985"
"2080","Normal/Others","WS/MP18161/2024-2025/157276-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","interlocking sadak nirman leela ke kuaa se cholai ki or gram imlali work agency gp badka","SANJNA JATAV","BHARATPUR(SC)","Images","16-Sep-2025","494385"
"2081","Normal/Others","WS/MP18336/2024-2025/156459-Construction of community centers and community halls","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","SAMUDAYIK BHAWAN NIRMAN - GRAM PANCHAYAT DAMAKHEDA, BLOCK SIMGA, BALODABAZAR","BRIJMOHAN AGRAWAL","RAIPUR","N/A","09-Dec-2025","650000"
"2082","Normal/Others","WS/MP18336/2024-2025/157135-Construction of community centers and community halls","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","SAMUDAYIK BHAWAN NIRMAN - GRAM PANCHAYAT DONGARIYA, BLOCK SIMGA, DIST BALODABAZAR","BRIJMOHAN AGRAWAL","RAIPUR","N/A","02-Jul-2025","637082"
"2083","Normal/Others","WS/MP18138/2024-2025/143329-Development of playfields and sports grounds","Mizoram","KOLASIB(Deputy Commissioner Kolasib)","Construction of Futsal Ground at Thingdawl","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","Images","24-Oct-2025","1500000"
"2084","Normal/Others","WS/MP18328/2024-2025/140063-Development of playground","Himachal Pradesh","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Development of Playground along with protection wall Near Sheed Samark at GSSS Gopalpur, District Mandi HP Work Execute By- BDO Gopalpur.","Kangana Ranaut","MANDI","Images","15-Dec-2025","200000"
"2085","Normal/Others","WS/MP356/2024-2025/140603-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","MANDSAUR(DISTRICT COLLECTOR MANDSAUR_IDA)","CONSTRUCTION OF CC ROAD","Shri Sudheer Gupta","MANDSOUR","Images","22-Jan-2026","300000"
"2086","Normal/Others","WS/MP18031/2024-2025/143489-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","purchase of books for school library. sanction of five for lacs each school","ABHAY KUMAR SINHA","AURANGABAD_BR","Images","17-Jan-2025","499385"
"2087","Normal/Others","WS/MP582/2024-2025/137303-Lighting of public spaces","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","the following facility work regarding placing electricity pole near the field in front of the P.S., fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs Lights Attachment and Leader with 1 Year Maintenance Work Nos.1, at Naren village Near Primary school Ground, Taluka Mandvi, District Surat","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","Images","09-Oct-2025","191910"
"2088","Trust and Society","WS/MP446/2024-2025/156590-Construction of rooms and halls in school and colleges","Madhya Pradesh","PANNA(DISTRICT COLLECTOR PANNA_IDA)","SARASWATI SHISHU MANDIR PANNA ME ATIRIKT KAKSH NIRMAN, PANNA, JILA PANNA","Vishnu Dutt Sharma","KHAJURAHO","Images","14-Nov-2025","1500000"
"2089","Normal/Others","WS/MP18322/2024-2025/140642-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Construction of PCC road from PWD Road to the Way of School in Panchayat- Kalajhar, Village- Kalajhar","NALIN SOREN","DUMKA(ST)","Images","16-Sep-2025","450000"
"2090","Normal/Others","WS/MP485/2024-2025/137234-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Instalation of 11 Nos Solar Stand Street Light from Bagulakhali Wooden Bridge to Chunakhali GP office under Chunakhali GP","Pratima Mondal","JOYNAGAR(SC)","Images","16-Jan-2025","379386"
"2091","Repair and Renovation","WS/MP18220/2024-2025/157405-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","Uttar Pradesh","HATHRAS(DISTRICT MAGISTRATE HATHRAS_IDA)","Gram Dhanoti Block Sadabad mai Samudayik Shochaley se Chandra Bhan Singh Fozi kai Ghar ki taraf 150 meeter sadak ka Interlocking work","ANOOP PRADHAN BALMIKI","HATHRAS (SC)","N/A","28-Feb-2025","1342891"
"2092","Normal/Others","WS/MP18220/2024-2025/157535-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","Uttar Pradesh","HATHRAS(DISTRICT MAGISTRATE HATHRAS_IDA)","Gram Nagla Anta Block Mursaan mai Shiv Singh kai Ghar sai Bhuri Singh kai Ghar ki taraf 50 meeter sadak ka Interlocking work","ANOOP PRADHAN BALMIKI","HATHRAS (SC)","N/A","28-Feb-2025","478795"
"2093","Normal/Others","WS/MP18220/2024-2025/157537-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","Uttar Pradesh","HATHRAS(DISTRICT MAGISTRATE HATHRAS_IDA)","Gram Siyamal Block Mursan mai Amar Singh Kushwaha kai Ghar sai Aganwadi  ki taraf 100 meeter sadak ka Interlocking work.","ANOOP PRADHAN BALMIKI","HATHRAS (SC)","N/A","28-Feb-2025","997247"
"2094","Repair and Renovation","WS/MP18220/2024-2025/157403-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","Uttar Pradesh","HATHRAS(DISTRICT MAGISTRATE HATHRAS_IDA)","Gram Punner Block Hathras mai Holi Chowk se Abnees or Pradeep kai Ghar hote hue 	Roshan kai Ghar ki taraf 180 meter sadak ka Interlocking work","ANOOP PRADHAN BALMIKI","HATHRAS (SC)","N/A","28-Feb-2025","1783283"
"2095","Normal/Others","WS/MP797/2024-2025/150963-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Bablu Pradhan, in Aliganj assembly of my parliamentary constituency Farrukhabad, cast a plan to install a high mast light with six LEDs near Nagla Tara intersection. 9557862585","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2096","Repair and Renovation","WS/MP18220/2024-2025/157404-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","Uttar Pradesh","HATHRAS(DISTRICT MAGISTRATE HATHRAS_IDA)","Gram Garav Garhi Block Sasni mai Nand Prakash kai Makan sai Junior High School ki 	taraf 200  meter sadak ka Interlocking work.","ANOOP PRADHAN BALMIKI","HATHRAS (SC)","N/A","18-Jun-2025","1601222"
"2097","Normal/Others","WS/MP797/2024-2025/150962-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Bablu in Aliganj assembly of my parliamentary constituency Farrukhabad, cast a plan to install a high mast light with six LEDs near Bhadki intersection. 6351733171","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2098","Normal/Others","WS/MP18220/2024-2025/157547-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","Uttar Pradesh","HATHRAS(DISTRICT MAGISTRATE HATHRAS_IDA)","Gram Odhpura Block Hathras mai Prem Singh Aheriya ke Ghar se Naim Singh kai Ghar ki taraf 150 meter sadak ka Interlocking work.","ANOOP PRADHAN BALMIKI","HATHRAS (SC)","N/A","28-Feb-2025","1408175"
"2099","Normal/Others","WS/MP797/2024-2025/150961-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Ritesh, in Aliganj assembly of my parliamentary constituency Farrukhabad, cast a plan to install a high mast light with six LEDs in front of Naigaon police station. 9759269268","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2100","Normal/Others","WS/MP797/2024-2025/150969-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Mahendra Pradhan, in Aliganj assembly of my parliamentary constituency Farrukhabad, cast a plan to install a high mast light with six LEDs near Deotra Tiraha. 9927681132","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2101","Normal/Others","WS/MP797/2024-2025/150968-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Mohit, in Aliganj assembly of my parliamentary constituency Farrukhabad, cast a plan to install a high mast light with six LEDs near Akbarpur Tiraha. 9634544087","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
