Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
111,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182263,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
112,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182264,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
113,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/183845,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
114,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/182257,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
115,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187588,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
116,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187595,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
117,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171619,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
118,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171622,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
119,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171626,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
120,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171624,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
121,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171625,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
122,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187362,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
123,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186926,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
124,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186942,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
125,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187363,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
126,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187364,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
127,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/187365,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
128,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186925,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
129,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186924,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
130,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184343,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
131,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184543,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
132,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184472,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
133,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184544,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
134,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186921,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
135,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186922,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
136,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186923,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
137,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184339,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
138,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184342,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-26,Ajay Kumar Singh,Payment In-Progress,19992
139,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171412,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,18-Aug-26,Ajay Kumar Singh,Payment In-Progress,19992
140,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/183819,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,18-Aug-26,Ajay Kumar Singh,Payment In-Progress,19992
141,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184028,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,18-Aug-26,Ajay Kumar Singh,Payment In-Progress,19992
142,Odisha,Construction of community centers and community halls,WS/MP300/2025-2026/226393,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,25-Aug-26,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,7000
143,Karnataka,Installing tube-wells and borewells,WS/MP18093/2026-2027/217130,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),V. SOMANNA,TUMKUR,27-Jul-26,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,375000
144,Karnataka,Construction of community centers and community halls,WS/MP18093/2026-2027/228510,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),V. SOMANNA,TUMKUR,02-Jul-26,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,750000
145,Karnataka,Construction of community centers and community halls,WS/MP18086/2026-2027/292888,HASSAN(DEPUTY COMMISSIONER HASSAN_IDA),SHREYAS. M. PATEL,HASSAN,24-Aug-26,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,750000
146,Kerala,Purchase of vans and buses for educational institutions,WS/MP18305/2026-2027/302713,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),E.T. MOHAMMED BASHEER,MALAPPURAM,24-Aug-26,SML ISUZU LTD,Payment In-Progress,1768000
147,West Bengal,Construction of stadiums,WS/MP18272/2026-2027/222318,Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA),KALIPADA SAREN,JHARGRAM(ST),17-Aug-26,RAJAT SUBHRA MANDAL,Payment In-Progress,4881631
148,Punjab,Purchase of mobile water tankers,WS/MP18311/2026-2027/287163,S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA),MALVINDER SINGH KANG,ANANDPUR SAHIB,10-Aug-26,DASHMESH ENGG WORKS,Payment In-Progress,350000
149,Jharkhand,Providing drains and gutters for public drainage,WS/MP18072/2025-2026/226948,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),DULU MAHATO,DHANBAD,27-Aug-26,SABBIR ANSARI,Payment In-Progress,375000
150,Jharkhand,Construction of common work sheds/ common covered sitting area,WS/MP18072/2025-2026/225052,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),DULU MAHATO,DHANBAD,27-Aug-26,SABBIR ANSARI,Payment In-Progress,244000
151,Jharkhand,Installing tube-wells and borewells,WS/MP334/2025-2026/223476,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,26-Aug-26,JUNIOR ENGINEER RDSD BOKARO,Payment In-Progress,70000
152,Jharkhand,Installing tube-wells and borewells,WS/MP334/2025-2026/223481,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,26-Aug-26,JUNIOR ENGINEER RDSD BOKARO,Payment In-Progress,25000
153,Jharkhand,Installing tube-wells and borewells,WS/MP334/2025-2026/211258,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,26-Aug-26,JUNIOR ENGINEER RDSD BOKARO,Payment In-Progress,25000
154,Jharkhand,Construction of public staircase/ stair ghat for public convenience,WS/MP334/2025-2026/211607,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),Shri Chandra Prakash Choudhary,GIRIDIH,26-Aug-26,JUNIOR ENGINEER RDSD BOKARO,Payment In-Progress,25000
155,Odisha,Construction of public irrigation facilities,WS/MP18150/2026-2027/272770,SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA),DHARMENDRA PRADHAN,SAMBALPUR,25-Aug-26,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,7000
156,Odisha,Construction of public irrigation facilities,WS/MP18150/2026-2027/272840,SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA),DHARMENDRA PRADHAN,SAMBALPUR,21-Aug-26,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,7000
157,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP856/2025-2026/231387,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,08-Aug-26,MRK CONSTRUCTIONS,Payment In-Progress,133800
158,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-26,Sidhu Cement Store Fatehgarh Channa,Payment In-Progress,44630
159,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-26,Sidhu Cement Store Fatehgarh Channa,Payment In-Progress,17920
160,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP494/2025-2026/226479,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,SAI ENTERPRISES,Payment In-Progress,665840
161,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP494/2025-2026/226499,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,979484
162,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP494/2025-2026/226497,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,287553
163,Uttar Pradesh,Installing community drinking water plants,WS/MP494/2025-2026/226500,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,66175
164,Uttar Pradesh,Installing community drinking water plants,WS/MP494/2025-2026/226507,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,65762
165,Uttar Pradesh,Installing community drinking water plants,WS/MP494/2025-2026/226509,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,66077
166,Uttar Pradesh,Installing community drinking water plants,WS/MP494/2025-2026/226510,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,66054
167,Uttar Pradesh,Installing community drinking water plants,WS/MP494/2025-2026/226502,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,66175
168,Uttar Pradesh,Installing community drinking water plants,WS/MP494/2025-2026/226503,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,66175
169,Uttar Pradesh,Installing community drinking water plants,WS/MP494/2025-2026/226504,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,66175
170,Uttar Pradesh,Installing community drinking water plants,WS/MP494/2025-2026/226505,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,66175
171,Uttar Pradesh,Installing community drinking water plants,WS/MP494/2025-2026/226501,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,TANYA CONSTRUCTION,Payment In-Progress,66175
172,Punjab,Construction of rooms and halls in school and colleges,WS/MP381/2026-2027/275251,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,25-Aug-26,SURINDER TRADERS,Payment In-Progress,495474
173,Punjab,Construction of rooms and halls in school and colleges,WS/MP381/2026-2027/275258,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,25-Aug-26,SURINDER TRADERS,Payment In-Progress,498148
174,Tamil Nadu,Construction of community centers and community halls,WS/MP017/2025-2026/257980,THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA),S. Jagathrakshakan,ARAKKONAM,27-Aug-26,Raveendhra G,Payment In-Progress,1599822
175,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP494/2025-2026/226492,AGRA(DISTRICT MAGISTRAE AGRA_IDA),Prof SP Singh Baghel,AGRA(SC),26-Aug-26,SAI ENTERPRISES,Payment In-Progress,556999
176,Tamil Nadu,Lighting of public spaces,WS/MP18179/2026-2027/245271,Mayiladuthurai(District Collector Mayiladuthurai_IDA),SUDHA R,MAYILADUTHURAI,24-Aug-26,SRI SAI ENTERPRISES,Payment In-Progress,900000
177,Tamil Nadu,Purchase of books and periodicals for libraries/digitization of library books,WS/MP746/2025-2026/212906,RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA),Kani K Navas,RAMANATHAPURAM,01-Apr-26,Nava India Pathipagam,Payment In-Progress,500000
178,Karnataka,Setting up of laboratories,WS/MP18078/2026-2027/248997,BALLARI(DEPUTY COMMISSIONER BELLARY_IDA),E. TUKARAM,BELLARY(ST),24-Aug-26,Bellary Nirmithi Kendra Bellary,Payment In-Progress,1125000
179,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP417/2025-2026/222071,NALANDA(DISTRICT PLANNING OFFICER NALANDA_IDA),Kaushalendra Kumar,NALANDA,27-Aug-26,simpi,Payment In-Progress,395705
180,Tamil Nadu,Street lights,WS/MP18177/2025-2026/156784,TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA),K E PRAKASH,ERODE,16-Apr-26,QUALITTY ENTERPRISES,Payment In-Progress,400000
181,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-26,Karan Intelock Tiles,Payment In-Progress,34380
182,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-26,Karan Intelock Tiles,Payment In-Progress,21201
183,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-26,BHAGWATI STEELS,Payment In-Progress,240226
184,Rajasthan,Development of playground,WS/MP18164/2025-2026/259491,GANGANAGAR(Zilla GANGANAGAR),KULDEEP INDORA,GANGANAGAR(SC),17-Aug-26,Param Enterprises,Payment In-Progress,96454
185,Punjab,Installing tube-wells and borewells,WS/MP18158/2026-2027/261347,PATIALA(DEPUTY COMMISSIONER PATIALA_IDA),DR DHARAMVIRA GANDHI,PATIALA,26-Aug-26,SHAM LAL BAL MUKAND,Payment In-Progress,86730
186,Uttarakhand,Construction of footpaths and pedestrian ways,WS/MP477/2026-2027/274283,ALMORA(DISTRICT MAGISTRATE ALMORA_IDA),Ajay Tamta,ALMORA(SC),27-Aug-26,bdo lamgara royalty,Payment In-Progress,11058
187,Uttar Pradesh,Lighting of public spaces,WS/MP18346/2024-2025/172316,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI,RAE BARELI,23-Jan-26,Exajoule PVT LTD,Payment In-Progress,158500
188,Madhya Pradesh,Construction of community centers and community halls,WS/MP641/2026-2027/258152,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel,KHARGONE(ST),24-Apr-26,cmobistan,Payment In-Progress,150000
189,West Bengal,Construction of buildings for crèches and anganwadies,WS/MP18248/2024-2025/151513,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),DR. SHARMILA SARKAR,BARDHAMAN PURBA(SC),21-Jul-26,SRI BALAJI CONCERN,Payment In-Progress,799065
190,Andhra Pradesh,Improvement of electricity distribution infrastructure,WS/MP405/2025-2026/140142,KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),Balashowry Vallabbhaneni,MACHILIPATNAM,06-Jul-26,venkateswara rao ganesana,Payment In-Progress,380097
191,Andhra Pradesh,Setting up public non-conventional energy plants,WS/MP522/2025-2026/260876,SRIKAKULAM(District Collector Srikakulam_IDA),Kinjarapu Ram Mohan Naidu,SRIKAKULAM,13-Aug-26,VIRAT MODY SOLAR SITY,Payment In-Progress,888865
192,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/256967,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,26-Aug-26,Dhanaula BKO,Payment In-Progress,6560
193,Karnataka,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18082/2025-2026/187502,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),10-Aug-26,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,250000
194,Karnataka,Construction of buildings for training institutions,WS/MP18093/2026-2027/217128,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),V. SOMANNA,TUMKUR,05-Aug-26,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,750000
195,Rajasthan,Setting up public non-conventional energy plants,WS/MP18165/2025-2026/210687,JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA),MANJU SHARMA,JAIPUR,21-Aug-26,Rajasthan Electronics And Instruments Limited,Payment In-Progress,1000000
196,Rajasthan,Setting up public non-conventional energy plants,WS/MP18165/2025-2026/247101,JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA),MANJU SHARMA,JAIPUR,21-Aug-26,Rajasthan Electronics And Instruments Limited,Payment In-Progress,1000000
197,Tamil Nadu,Construction of bus-sheds or bus-stops,WS/MP18179/2026-2027/245281,Mayiladuthurai(District Collector Mayiladuthurai_IDA),SUDHA R,MAYILADUTHURAI,13-Aug-26,Jothiprakash V,Payment In-Progress,595689
198,Madhya Pradesh,Construction of common work sheds/ common covered sitting area,WS/MP18104/2025-2026/213696,NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA),DARSHAN SINGH CHOUDHARY,HOSHANGABAD,06-Jan-26,Sachiv Gram panchayat kulamadi,Payment In-Progress,75000
199,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18100/2025-2026/249986,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,03-Feb-26,Sarpanch Gram Panchayat   KERIYA,Payment In-Progress,120000
200,Madhya Pradesh,Purchase of books and periodicals for libraries/digitization of library books,WS/MP444/2026-2027/254267,BETUL(DISTRICT COLLECTOR BETUL_IDA),Durga Das Uikey,BETUL(ST),27-Jul-26,PRATIBHA PRATISHTHAN,Payment In-Progress,1999844
201,Tamil Nadu,Lighting of public spaces,WS/MP751/2025-2026/249287,MADURAI(DISTRICT COLLECTOR MADURAI_IDA),S Venkatesan,MADURAI,27-Aug-26,N NALLATHAMBI,Payment In-Progress,399890
202,Bihar,Construction of community centers and community halls,WS/MP18043/2025-2026/198318,KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA),MANOJ KUMAR,SASARAM(SC),27-Jun-26,ASSISTANT ENGINEER MOHANIA,Payment In-Progress,201465
203,Madhya Pradesh,Construction of buildings for community cultural activities,WS/MP18100/2025-2026/251014,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,25-Aug-26,GRAM PANCHAYAT ARJUNWADI,Payment In-Progress,60000
204,Punjab,Construction of shelters for animals,WS/MP18314/2026-2027/268676,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,25-Aug-26,MS SHERPUR BRICK KILN,Payment In-Progress,49200
205,Punjab,Construction of shelters for animals,WS/MP18314/2026-2027/268676,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,25-Aug-26,MS SHERPUR BRICK KILN,Payment In-Progress,49200
206,Punjab,Construction of shelters for animals,WS/MP18314/2026-2027/268676,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,25-Aug-26,MS SHERPUR BRICK KILN,Payment In-Progress,49200
207,Punjab,Construction of shelters for animals,WS/MP18314/2026-2027/268676,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,25-Aug-26,MS SHERPUR BRICK KILN,Payment In-Progress,49200
208,Punjab,Construction of shelters for animals,WS/MP18314/2026-2027/268676,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,25-Aug-26,MS SHERPUR BRICK KILN,Payment In-Progress,49200
209,Punjab,Construction of shelters for animals,WS/MP18314/2026-2027/268676,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,25-Aug-26,MS SHERPUR BRICK KILN,Payment In-Progress,49200
210,Punjab,Construction of shelters for animals,WS/MP18314/2026-2027/268676,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,25-Aug-26,MS SHERPUR BRICK KILN,Payment In-Progress,43050
211,Uttar Pradesh,Lighting of public spaces,WS/MP507/2026-2027/290535,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),Ashok Kumar Rawat,MISRIKH(SC),24-Aug-26,SHRI GURU KRIPA NARSINGH ASSOCIATES,Payment In-Progress,4003098
212,Uttar Pradesh,Lighting of public spaces,WS/MP507/2026-2027/290535,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),Ashok Kumar Rawat,MISRIKH(SC),24-Aug-26,SHRI GURU KRIPA NARSINGH ASSOCIATES,Payment In-Progress,4474051
213,Uttar Pradesh,Lighting of public spaces,WS/MP507/2026-2027/290535,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),Ashok Kumar Rawat,MISRIKH(SC),24-Aug-26,SHRI GURU KRIPA NARSINGH ASSOCIATES,Payment In-Progress,4709528
214,Uttar Pradesh,Lighting of public spaces,WS/MP507/2026-2027/290535,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),Ashok Kumar Rawat,MISRIKH(SC),24-Aug-26,SHRI GURU KRIPA NARSINGH ASSOCIATES,Payment In-Progress,3532146
215,Uttar Pradesh,Lighting of public spaces,WS/MP507/2026-2027/290535,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),Ashok Kumar Rawat,MISRIKH(SC),24-Aug-26,SHRI GURU KRIPA NARSINGH ASSOCIATES,Payment In-Progress,4945004
216,Uttar Pradesh,Lighting of public spaces,WS/MP507/2026-2027/290535,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),Ashok Kumar Rawat,MISRIKH(SC),24-Aug-26,SHRI GURU KRIPA NARSINGH ASSOCIATES,Payment In-Progress,3767622
217,Uttar Pradesh,Lighting of public spaces,WS/MP507/2026-2027/290535,SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA),Ashok Kumar Rawat,MISRIKH(SC),24-Aug-26,SHRI GURU KRIPA NARSINGH ASSOCIATES,Payment In-Progress,4238575
